11,11. An email user has been lured into clicking a link in an email sent by their company?s security organization. The webpage that opens reports that it was safe but the link could have contained malicious code. Which type of security program is in place?,A. Physical access control,B. Social engineering attack,C. brute force attack,D. user awareness,,,,,D,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12. Which type of wireless encryption is used for WPA2 in pre-shared key mode?,A. TKIP with RC4,B. RC4,C. AES-128,D. AES-256,,,,,D,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13. Which two must be met before SSH can operate normally on a Cisco IOS switch? (Choose two),A. The switch must be running a k9 (crypto) IOS image.,B. The ip domain-name command must be configured on the switch.,C. IP routing must be enabled on the switch.,D. A console password must be configured on the switch.,E. Telnet must be disabled on the switch.,,,,AB,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14. Which type of address is the public IP address of a NAT device?,A. outside global,B. outsdwde local,C. inside global,D. insride local,E. outside public,F. inside public,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15. Refer to the exhibit. Which prefix does Router 1 use for traffic to Host A?,A. 10.10.10.0/28,B. 10.10.13.0/25,C. 10.10.13.144/28,D. 10.10.13.208/29,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16. How does HSRP provide first hop redundancy?,A. It load-balances traffic by assigning the same metric value to more than one route to the same destination m the IP routing table.,B. It load-balances Layer 2 traffic along the path by flooding traffic out all interfaces configured with the same VLAN.,C. It forwards multiple packets to the same destination over different routed links n the data path.,D. It uses a shared virtual MAC and a virtual IP address to a group of routers that serve as the default gateway for hosts on a LAN.,,,,,D,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17. In Which way does a spine-and-leaf architecture allow for scalability in a network when additional access ports are required?,A. A spine switch and a leaf switch can be added with redundant connections between them.,B. A spine switch can be added with at least 40 GB uplinks.,C. A leaf switch can be added with a single connection to a core spine switch.,D. A leaf switch can be added with connections to every spine switch.,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18. Which two actions are performed by the Weighted Random Early Detection mechanism? (Choose two),A. It drops lower-priority packets before it drops higher-priority packets.,B. It can identify different flows with a high level of granularity.,C. It guarantees the delivery of high-priority packets.,D. It can mitigate congestion by preventing the queue from filling up.,E. It supports protocol discovery.,,,,AD,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19. A network engineer must back up 20 network router configurations globally within a customer environment. Which protocol allows the engineer to perform this function using the Cisco IOS MIB?,A. CDP,B. SNMP,C. SMTP,D. ARP,,,,,B,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20. Refer to the exhibit. What is the effect of this configuration?,A. The switch port interface trust state becomes untrusted.,B. The switch port remains administratively down until the interface is connected to another switch.,C. Dynamic ARP inspection is disabled because the ARP ACL is missing.,D. The switch port remains down until it is configured to trust or untrust incoming packets.,,,,,A,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21. A frame that enters a switch fails the Frame Check Sequence. Which two interface counters are incremented? (Choose two),A. runts,B. giants,C. frame,D. CRC,E. input errors,,,,DE,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22. How do TCP and UDP differ in the way that they establish a connection between two endpoints?,"A. TCP uses synchronization packets, and UDP uses acknowledgment packets.","B. UDP uses SYN, SYN ACK and FIN bits in the frame header while TCP uses SYN, SYN ACK and ACK bits.",C. UDP provides reliable message transfer and TCP is a connectionless protocol.,D. TCP uses the three-way handshake and UDP does not guarantee message delivery.,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"23. When OSPF learns multiple paths to a network, how does it select a route?",A. It multiple the active K value by 256 to calculate the route with the lowest metric.,"B. For each existing interface, it adds the metric from the source router to the destination to calculate the route with the lowest bandwidth.",C. It divides a reference bandwidth of 100 Mbps by the actual bandwidth of the existing interface to calculate the router with the lowest cost.,D. It count the number of hops between the source router and the destination to determine the router with the lowest metric.,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24. Refer to the exhibit. Which password must an engineer use to enter the enable mode?,A. adminadmin123,B. default,C. testing1234,D. cisco123,,,,,C,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25. Which configuration is needed to generate an RSA key for SSH on a router?,A. Configure the version of SSH.,B. Configure VTY access.,C. Create a user with a password.,D. Assign a DNS domain name.,,,,,D,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26. Which output displays a JSON data representation?,A. Option A,B. Option B,C. Option C,D. Option D,,,,,C,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27. What is the primary different between AAA authentication and authorization?,"A. Authentication verifies a username and password, and authorization handles the communication between the authentication agent and the user database.","B. Authentication identifies a user who is attempting to access a system, and authorization validates the users password.","C. Authentication identifies and verifies a user who is attempting to access a system, and authorization controls the tasks the user can perform.",D. Authentication controls the system processes a user can access and authorization logs the activities the user initiates.,,,,,C,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28. A Cisco IP phone receive untagged data traffic from an attached PC. Which action is taken by the phone?,A. It allows the traffic to pass through unchanged.,B. It drops the traffic.,C. It tags the traffic with the default VLAN.,D. It tags the traffic with the native VLAN.,,,,,A,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29. An engineer must configure a/30 subnet between two routers. Which usable IP address and subnet mask combination meets this criteria?,A. interface e0/0   description to HQ-A370:98968 ip address 10.2.1.3 255.255.255.252,B. interface e0/0  description to HQ-A370:98968  ip address 192.168.1.1 255.255.255.248,C. interface e0/0  description to HQ-A370:98968  ip address 172.16.1.4 255.255.255.248,D. interface e0/0  description to HQ-A370:98968  ip address 209.165.201.2 255.255.255.252,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30. What is a benefit of using a Cisco Wireless LAN Controller?,A. Central AP management requires more complex configurations.,B. Unique SSIDs cannot use the same authentication method.,C. It supports autonomous and lightweight APs.,D. It eliminates the need to configure each access point individually.,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31. What are two characteristics of a controller-based network? (Choose two),A. The administrator can make configuration updates from the CLI.,B. It uses northbound and southbound APIs to communicate between architectural layers.,C. It moves the control plane to a central point.,"D. It decentralizes the control plane, which allows each device to make its own forwarding decisions.",E. It uses Telnet to report system issues.,,,,BC,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32. Which attribute does a router use to select the best path when two or more different routes to the same destination exist from two different routing protocols?,A. dual algorithm,B. metric,C. administrative distance,D. hop count,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33. Refer to Exhibit. How does SW2 interact with other switches in this VTP domain?,A. It processes VTP updates from any VTP clients on the network on its access ports.,B. It receives updates from all VTP servers and forwards all locally configured VLANs out all trunk ports.,C. It forwards only the VTP advertisements that it receives on its trunk ports.,D. It transmits and processes VTP updates from any VTP Clients on the network on its trunk ports.,,,,,C,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34. Which unified access point mode continues to serve wireless clients after losing connectivity to the Cisco Wireless LAN Controller?,A. sniffer,B. mesh,C. flexconnect,D. local,,,,,C,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35. Which two encoding methods are supported by REST APIs? (Choose two),A. YAML,B. JSON,C. EBCDIC,D. SGML,E. XML,,,,BE,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36. What are two reasons that cause late collisions to increment on an Ethernet interface? (Choose two),A. when the sending device waits 15 seconds before sending the frame again,B. when the cable length limits are exceeded,C. when one side of the connection is configured for half-duplex,D. when Carriner Sense Multiple Access/Collision Detection is used,E. when a collision occurs after the 32nd byte of a frame has been transmitted,,,,BC,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"37. Router A learns the same route from two different neighbors, one of the neighbor routers is an OSPF neighbor and the other is an EIGRP neighbor. What is the administrative distance of the route that will be installed in the routing table?",A. 20,B. 90,C. 110,D. 115,,,,,B,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38. What is the primary effect of the spanning-tree portfast command?,A. It enables BPDU messages,B. It minimizes spanning-tree convergence time,C. It immediately puts the port into the forwarding state when the switch is reloaded,D. It immediately enables the port in the listening state,,,,,B,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39. What is the default behavior of a Layer 2 switch when a frame with an unknown destination MAC address is received?,A. The Layer 2 switch drops the received frame.,B. The Layer 2 switch floods packets to all ports except the receiving port in the given VLAN.,C. The Layer 2 switch sends a copy of a packet to CPU for destination MAC address learning.,D. The Layer 2 switch forwards the packet and adds the destination MAC address to its MAC address table.,,,,,B,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40. Refer to the exhibit. What is the effect of this configuration?,A. All ARP packets are dropped by the switch.,B. Egress traffic is passed only if the destination is a DHCP server.,C. All ingress and egress traffic is dropped because the interface is untrusted.,D. The switch discard all ingress ARP traffic with invalid MAC-to-IP address bindings.,,,,,D,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41. Refer to the exhibit. An engineer configured NAT translations and has verified that the configuration is correct. Which IP address is the source IP?,A. 10.4.4.4,B. 10.4.4.5,C. 172.23.103.10,D. 172.23.104.4,,,,,D,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42. Refer to the exhibit. Which route does R1 select for traffic that is destined to 192 168.16.2?,A. 192.168.16.0/21,B. 192.168.16.0/24,C. 192.168 26.0/26,D. 192.168.16.0/27,,,,,D,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43. Which IPv6 address block sends packets to a group address rather than a single address?,A. 2000::/3,B. FC00::/7,C. FE80::/10,D. FF00::/8,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44. Which two values or settings must be entered when configuring a new WLAN in the Cisco Wireless LAN Controller GUI? (Choose two),A. management interface settings,B. QoS settings,C. Ip address of one or more access points,D. SSID,E. Profile name,,,,DE,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45. Which two actions influence the EIGRP route selection process? (Choose two),A. The router calculates the reported distance by multiplying the delay on the exiting Interface by 256.,B. The router calculates the best backup path to the destination route and assigns it as the feasible successor.,C. The router calculates the feasible distance of all paths to the destination route.,D. The advertised distance is calculated by a downstream neighbor to inform the local router of the bandwidth on the link.,E. The router must use the advertised distance as the metric for any given route.,,,,BC,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46. Refer to Exhibit. Which action do the switches take on the trunk link?,A. The trunk does not form and the ports go into an err-disabled status.,B. The trunk forms but the mismatched native VLANs are merged into a single broadcast domain.,"C. The trunk does not form, but VLAN 99 and VLAN 999 are allowed to traverse the link.",D. The trunk forms but VLAN 99 and VLAN 999 are in a shutdown state.,,,,,B,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47. Which command is used to specify the delay time in seconds for LLDP to initialize on any interface?,A. lldp timer,B. lldp holdtimt,C. lldp reinit,D. lldp tlv-select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48. An engineer configured an OSPF neighbor as a designated router. Which state verifies the designated router is in the proper mode?,A. Exchange,B. 2-way,C. Full,D. Init,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49. Refer to the exhibit. The show ip ospf interface command has been executed on R1. How is OSPF configured?,A. The interface is not participating in OSPF.,B. A point-to-point network type is configured.,C. The default Hello and Dead timers are in use.,D. There are six OSPF neighbors on this interface.,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50. An engineer is asked to protect unused ports that are configured in the default VLAN on a switch. Which two steps will fulfill the request? (Choose two),A. Configure the ports in an EtherChannel.,B. Administratively shut down the ports.,C. Configure the port type as access and place in VLAN 99.,D. Configure the ports as trunk ports.,E. Enable the Cisco Discovery Protocol.,,,,BC,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51. Which QoS Profile is selected in the GUI when configuring a voice over WLAN deployment?,A. Bronze,B. Platinum,C. Silver,D. Gold,,,,,B,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52. Refer to the exhibit. An engineer is bringing up a new circuit to the MPLS provider on the Gi0/1 interface of Router1. The new circuit uses eBGP and teams the route to VLAN25 from the BGP path. What is the expected behavior for the traffic flow for route 10.10.13.0/25?,A. Traffic to 10.10.13.0.25 is load balanced out of multiple interfaces,B. Route 10.10.13.0/25 is updated in the routing table as being learned from interface Gi0/1.,C. Traffic to 10.10.13.0/25 is a symmetrical,D. Route 10.10.13.0/25 learned via the Gi0/0 interface remains in the routing table,,,,,D,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53. Which statement identifies the functionality of virtual machines?,A. Virtualized servers run most efficiently when they are physically connected to a switch that is separate from the hypervisor.,"B. The hypervisor can virtualize physical components including CPU, memory, and storage.",C. Each hypervisor can support a single virtual machine and a single software switch.,D. The hypervisor communicates on Layer 3 without the need for additional resources.,,,,,B,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54. Refer to the exhibit. Which type of route does R1 use to reach host 10.10.13.10/32?,A. floating static route,B. host route,C. default route,D. network route,,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55. Refer to the exhibit. A network engineer must block access for all computers on VLAN 20 to the web server via HTTP. All other computers must be able to access the web server. Which configuration when applied to switch A accomplishes this task?,A. Option A,B. Option B,C. Option C,D. Option D,,,,,B,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56. Two switches are connected and using Cisco Dynamic Trunking Protocol SW1 is set to Dynamic Desirable. What is the result of this configuration?,A. The link is in a down state.,B. The link is in an error disables state,C. The link is becomes an access port.,D. The link becomes a trunk port.,,,,,D,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57. Which feature on the Cisco Wireless LAN Controller when enabled restricts management access from specific networks?,A. CPU ACL,B. TACACS,C. Flex ACL,D. RADIUS,,,,,A,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"58. A user configured OSPF in a single area between two routers A serial interface connecting R1 and R2 is running encapsulation PPP, by default, which OSPF network type is seen on this interface when the user types show ip ospf interface on R1 or R2?",A. port-to-multipoint,B. broadcast,C. point-to-point,D. nonbroadcast,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"59. Refer to the exhibit. Based on the LACP neighbor status, in which mode is the SW1 port channel configured?",A. passive,B. mode on,C. auto,D. active,,,,,D,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"60. A user configured OSPF and advertised the Gigabit Ethernet interface in OSPF by default, which type of OSPF network does this interface belong to?",A. point-to-multipoint,B. point-to-point,C. broadcast,D. nonbroadcast,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61. An organization has decided to start using cloud-provided services. Which cloud service allows the organization to install its own operating system on a virtual machine?,A. platform-as-a-service,B. software-as-a-service,C. network-as-a-service,D. infrastructure-as-a-service,,,,,D,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62. Which mode allows access points to be managed by Cisco Wireless LAN Controllers?,A. autonomous,B. lightweight,C. bridge,D. mobility express,,,,,B,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63. Which command automatically generates an IPv6 address from a specified IPv6 prefix and MAC address of an interface?,A. ipv6 address dhcp,B. ipv6 address 2001:DB8:5:112::/64 eui-64,C. ipv6 address autoconfig,D. ipv6 address 2001:DB8:5:112::2/64 link-local,,,,,C,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64. Refer to Exhibit. An engineer is configuring the NEW York router to reach the Lo1 interface of the Atlanta router using interface Se0/0/0 as the primary path. Which two commands must be configured on the New York router so that it can reach the Lo1 interface of the Atlanta router via Washington when the link between New York and Atlanta goes down? (Choose two),A. ipv6 router 2000::1/128 2012::1,B. ipv6 router 2000::1/128 2012:1 5,C. ipv6 router 2000::1/128 2012::2,D. ipv6 router 2000::1/128 2023:2 5,E. ipv6 router 2000::1/128 2023::3 5,,,,AE,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65. Refer to the exhibit. Which command provides this output?,A. show ip route,B. show ip interface,C. show interface,D. show cdp neighbor,,,,,D,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66. Which two outcomes are predictable behaviors for HSRP? (Choose two),A. The two routers share a virtual IP address that is used as the default gateway for devices on the LAN.,B. The two routers negotiate one router as the active router and the other as the standby router.,"C. Each router has a different IP address both routers act as the default gateway on the LAN, and traffic is load balanced between them.",D. The two routers synchronize configurations to provide consistent packet forwarding.,"E. The two routed share the same IP address, and default gateway traffic is load-balanced between them.",,,,AB,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67. Which action is taken by a switch port enabled for PoE power classification override?,A. When a powered device begins drawing power from a PoE switch port a syslog message is generated.,B. As power usage on a PoE switch port is checked data flow to the connected device is temporarily paused.,C. If a switch determines that a device is using less than the minimum configured power it assumes the device has failed and disconnects.,"D. If a monitored port exceeds the maximum administrative value for power, the port is shutdown and err disabled.",,,,,D,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68. Which 802.11 frame type is association response?,A. management,B. protected frame,C. control,D. action,,,,,A,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69. Which two tasks must be performed to configure NTP to a trusted server in client mode on a single network device? (Choose two),A. Enable NTP authentication.,B. Verify the time zone.,C. Disable NTP broadcasts.,D. Specify the IP address of the NTP server.,E. Set the NTP server private key.,,,,AD,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70. Refer to the exhibit. The New York router is configured with static routes pointing to the Atlanta and Washington sites. Which two tasks must be performed so that the Serial0/0/0 interfaces on the Atlanta and Washington routers can reach one another? (Choose two.),A. Configure the ipv6 route 2012::/126 2023::1 command on the Washington router.,B. Configure the ipv6 route 2023::/126 2012::1 command on the Atlanta router.,C. Configure the Ipv6 route 2012::/126 s0/0/0 command on the Atlanta router.,D. Configure the ipv6 route 2023::/126 2012::2 command on the Atlanta router.,E. Configure the ipv6 route 2012::/126 2023::2 command on the Washington router.,,,,DE,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71. Which result occurs when PortFast is enabled on an interface that is connected to another switch?,A. Spanning tree may fail to detect a switching loop in the network that causes broadcast storms.,B. VTP is allowed to propagate VLAN configuration information from switch to switch automatically.,C. Root port choice and spanning tree recalculation are accelerated when a switch link goes down.,D. After spanning tree converges PortFast shuts down any port that receives BPDUS.,,,,,A,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72. Refer to exhibit. Which statement explains the configuration error message that is received?,A. It is a broadcast IP address.,B. The router does not support/28 mask.,C. It belongs to a private IP address range.,D. It is a network IP address.,,,,,A,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"73. When a floating static route is configured, which action ensures that the backup route is used when the primary route fails?",A. The floating static route must have a higher administrative distance than the primary route so it is used as a backup.,B. The administrative distance must be higher on the primary route so that the backup route becomes secondary,C. The floating static route must have a lower administrative distance than the primary route so it is used as a backup.,D. The default-information originate command must be configured for the route to be installed into the routing table.,,,,,A,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74. What makes Cisco DNA Center different from traditional network management applications and their management of networks?,A. It only supports auto-discovery of network elements in a greenfield deployment.,B. It modular design allows someone to implement different versions to meet the specific needs of an organization.,C. It abstracts policy from the actual device configuration.,D. It does not support high availability of management functions when operating in cluster mode.,,,,,C,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75. Which network allows devices to communicate without the need to access the Internet?,A. 172.9.0.0/16,B. 172.28.0.0/16,C. 192.0.0.0/8,D. 209.165.201.0/24,,,,,B,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76. Refer to the exhibit. What does router R1 use as its OSPF router-ID?,A. 10.10.1.10,B. 10.10.10.20,C. 172.16.15.10,D. 192.168.0.1,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"77. Refer to the exhibit. If OSPF is running on this network, how does Router 2 handle traffic from Site B to 10.10.13.128/25 at Site A?",A. It sends packets out of interface Fa0/2 only.,B. It sends packets out of interface Fa0/1 only.,C. It cannot send packets to 10.10.13.128/25.,D. It load-balances traffic out of Fa0/1 and Fa0/2.,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"78. When a site-to-site VPN is used, which protocol is responsible for the transport of user data?",A. IKEv2,B. IKEv1,C. IPsec,D. MD5,,,,,C,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79. Refer to the exhibit. An extended ACL has been configured and applied to router R2 The configuration started to work as intended.Which two changes stop outbound traffic on TCP ports 25 and 80 to 10.0.20.0/26 from the 10.0.10.0/26 subnet while still allowing all other traffic? (Choose two),A. Add a ?permit ip any any? statement to the begining of ACL 101 for allowed traffic.,B. Add a ?permit ip any any? statement at the end of ACL 101 for allowed traffic.,C. The source and destination IPs must be swapped in ACL 101.,D. The ACL must be configured the Gi0/2 interface inbound on R1.,E. The ACL must be moved to the Gi0/1 interface outbound on R2.,,,,BC,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80. Which mode must be used to configure EtherChannel between two switches without using a negotiation protocol?,A. on,B. auto,C. active,D. desirable,,,,,A,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81. A router running EIGRP has learned the same route from two different paths. Which parameter does the router use to select the best path?,A. cost,B. adminstrative distance,C. metric,D. as-path,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"82. R1 has learned route 192.168.12.0/24 via IS-IS. OSPF, RIP. and Internal EIGRP Under normal operating conditions, which routing protocol is installed in the routing table?",A. IS-IS,B. RIP,C. Internal EIGRP,D. OSPF,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83. Which MAC address is recognized as a VRRP virtual address?,A. 0000.5E00.010a,B. 0005.3711.0975,C. 0000.0C07.AC99,D. 0007.C070/AB01,,,,,A,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84. Which statement correctly compares traditional networks and controller-based networks?,A. Only traditional networks offer a centralized control plane.,B. Only traditional networks natively support centralized management.,C. Traditional and controller-based networks abstract policies from device configurations.,D. Only controller-based networks decouple the control plane and the data plane.,,,,,D,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"85. If a notice-level messaging is sent to a syslog server, which event has occurred?",A. A network device has restarted.,B. An ARP inspection has failed.,C. A routing instance has flapped.,D. A debug operation is running.,,,,,C,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86. Refer to the exhibit. With which metric was the route to host 172.16.0.202 learned?,A. 0,B. 110,C. 38443,D. 3184439,,,,,C,Section: IP Connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
